policy,goal_angle,episode_within_goal,seed,success,cumulative_reward,episode_length,final_absolute_error,final_angle,terminated,truncated,decrease_actions,hold_actions,increase_actions,action_changes
config_a,-0.8,1,18020,True,10.589847672078758,25,0.009327071063274461,-0.8093270710632745,True,False,11,13,1,7
config_a,-0.8,2,18021,True,10.589847672078758,25,0.009327071063274461,-0.8093270710632745,True,False,11,13,1,7
config_a,-0.8,3,18022,True,10.589847672078758,25,0.009327071063274461,-0.8093270710632745,True,False,11,13,1,7
config_a,-0.8,4,18023,True,10.589847672078758,25,0.009327071063274461,-0.8093270710632745,True,False,11,13,1,7
config_a,-0.8,5,18024,True,10.589847672078758,25,0.009327071063274461,-0.8093270710632745,True,False,11,13,1,7
config_a,-0.4,1,18120,True,15.503292351076379,18,0.004992408986828345,-0.40499240898682837,True,False,6,11,1,5
config_a,-0.4,2,18121,True,15.503292351076379,18,0.004992408986828345,-0.40499240898682837,True,False,6,11,1,5
config_a,-0.4,3,18122,True,15.503292351076379,18,0.004992408986828345,-0.40499240898682837,True,False,6,11,1,5
config_a,-0.4,4,18123,True,15.503292351076379,18,0.004992408986828345,-0.40499240898682837,True,False,6,11,1,5
config_a,-0.4,5,18124,True,15.503292351076379,18,0.004992408986828345,-0.40499240898682837,True,False,6,11,1,5
config_a,0.4,1,18220,True,15.51747603309341,17,0.010200815347501668,0.4102008153475017,True,False,3,6,8,9
config_a,0.4,2,18221,True,15.51747603309341,17,0.010200815347501668,0.4102008153475017,True,False,3,6,8,9
config_a,0.4,3,18222,True,15.51747603309341,17,0.010200815347501668,0.4102008153475017,True,False,3,6,8,9
config_a,0.4,4,18223,True,15.51747603309341,17,0.010200815347501668,0.4102008153475017,True,False,3,6,8,9
config_a,0.4,5,18224,True,15.51747603309341,17,0.010200815347501668,0.4102008153475017,True,False,3,6,8,9
config_a,0.8,1,18320,True,10.98818615534692,23,0.0038535687738304736,0.8038535687738305,True,False,2,9,12,6
config_a,0.8,2,18321,True,10.98818615534692,23,0.0038535687738304736,0.8038535687738305,True,False,2,9,12,6
config_a,0.8,3,18322,True,10.98818615534692,23,0.0038535687738304736,0.8038535687738305,True,False,2,9,12,6
